,subdivision_id,division_id,name,local_name
60,56491,5,Kabupaten Lebak,Kabupaten Lebak
61,56574,5,Kabupaten Pandeglang,Kabupaten Pandeglang
62,56623,5,Kabupaten Serang,Kabupaten Serang
63,56666,5,Kabupaten Tangerang,Kabupaten Tangerang
64,56747,5,Kota Cilegon,Kota Cilegon
65,56796,5,Kota Serang,Kota Serang
66,56805,5,Kota Tangerang,Kota Tangerang
67,56806,5,Kota Tangerang Selatan,Kota Tangerang Selatan
68,56829,5,Labuan,Labuan
69,56909,5,Pandeglang,Pandeglang
70,56950,5,Rangkasbitung,Rangkasbitung
71,56969,5,Serang,Serang
72,56996,5,South Tangerang,South Tangerang
73,57014,5,Tangerang,Tangerang
74,56217,6,Bengkulu,Bengkulu
75,56258,6,Curup,Curup
76,56355,6,Kabupaten Bengkulu Selatan,Kabupaten Bengkulu Selatan
77,56356,6,Kabupaten Bengkulu Tengah,Kabupaten Bengkulu Tengah
78,56357,6,Kabupaten Bengkulu Utara,Kabupaten Bengkulu Utara
79,56444,6,Kabupaten Kaur,Kabupaten Kaur
80,56449,6,Kabupaten Kepahiang,Kabupaten Kepahiang
81,56492,6,Kabupaten Lebong,Kabupaten Lebong
82,56544,6,Kabupaten Mukomuko,Kabupaten Mukomuko
83,56609,6,Kabupaten Rejang Lebong,Kabupaten Rejang Lebong
84,56619,6,Kabupaten Seluma,Kabupaten Seluma
85,56739,6,Kota Bengkulu,Kota Bengkulu
86,56192,,Bambanglipuro,Bambanglipuro
87,56204,,Bantul,Bantul
88,56264,,Depok,Depok
89,56276,,Gamping Lor,Gamping Lor
90,56282,,Godean,Godean
91,56338,,Kabupaten Bantul,Kabupaten Bantul
92,56414,,Kabupaten Gunung Kidul,Kabupaten Gunung Kidul
93,56473,,Kabupaten Kulon Progo,Kabupaten Kulon Progo
94,56637,,Kabupaten Sleman,Kabupaten Sleman
95,56702,,Kasihan,Kasihan
96,56816,,Kota Yogyakarta,Kota Yogyakarta
97,56868,,Melati,Melati
98,56908,,Pandak,Pandak
99,56943,,Pundong,Pundong
100,56972,,Sewon,Sewon
101,56988,,Sleman,Sleman
102,56998,,Srandakan,Srandakan
103,57061,,Yogyakarta,Yogyakarta
104,56293,34,Jakarta,Jakarta
105,56722,34,Kota Administrasi Jakarta Barat,Kota Administrasi Jakarta Barat
106,56723,34,Kota Administrasi Jakarta Pusat,Kota Administrasi Jakarta Pusat
107,56724,34,Kota Administrasi Jakarta Selatan,Kota Administrasi Jakarta Selatan
108,56725,34,Kota Administrasi Jakarta Timur,Kota Administrasi Jakarta Timur
109,56726,34,Kota Administrasi Jakarta Utara,Kota Administrasi Jakarta Utara
110,56285,7,Gorontalo,Gorontalo
